Date,Entry Time,Entry Price,Exit Time Long,Exit Time Short,Exit Price Long,Exit Price Short,Slippage Long,Slippage Short,P&L Long,P&L Short,Total P&L
2018-01-01,09:16:00,10526.0,15:25:00,15:25:00,10433.3,10433.3,10.526,10.526,-2780.6500000000183,1854.350000000018,-926.3000000000002
2018-01-02,09:16:00,10493.1,15:25:00,15:25:00,10441.3,10441.3,10.4931,10.4931,-1757.3275000000272,832.6725000000274,-924.6549999999997
2018-01-03,09:16:00,10469.6,15:25:00,15:25:00,10444.1,10444.1,10.4696,10.4696,-1099.24,175.76,-923.48
2018-01-04,09:16:00,10460.0,15:25:00,15:25:00,10510.0,10510.0,10.46,10.46,788.5,-1711.5,-923.0
2018-01-05,09:16:00,10528.3,15:25:00,15:25:00,10564.4,10564.4,10.5283,10.5283,439.2925000000091,-1365.707500000009,-926.415
2018-01-08,09:16:00,10599.0,15:25:00,15:25:00,10616.2,10616.2,10.599,10.599,-34.974999999981804,-894.9750000000182,-929.95
2018-01-09,09:16:00,10638.9,15:25:00,15:25:00,10632.3,10632.3,10.6389,10.6389,-630.9725000000091,-300.9724999999909,-931.9449999999999
2018-01-10,09:16:00,10637.7,15:25:00,15:25:00,10634.8,10634.8,10.6377,10.6377,-538.4425000000364,-393.4424999999636,-931.885
2018-01-11,09:16:00,10623.6,15:25:00,15:25:00,10655.7,10655.7,10.6236,10.6236,336.91000000000906,-1268.090000000009,-931.18
2018-01-12,09:16:00,10684.0,15:25:00,15:25:00,10675.5,10675.5,10.684000000000001,10.684000000000001,-679.6,-254.60000000000002,-934.2
2018-01-15,09:16:00,10726.5,15:25:00,15:25:00,10736.8,10736.8,10.7265,10.7265,-210.66250000001818,-725.6624999999818,-936.325
2018-01-16,09:16:00,10756.8,15:25:00,15:25:00,10710.8,10710.8,10.7568,10.7568,-1618.92,681.08,-937.84
2018-01-17,09:16:00,10715.5,15:25:00,15:25:00,10799.0,10799.0,10.7155,10.7155,1619.6125,-2555.3875000000003,-935.7750000000003
2018-01-18,09:16:00,10853.9,15:25:00,15:25:00,10816.5,10816.5,10.8539,10.8539,-1406.3474999999908,463.65249999999094,-942.6949999999998
2018-01-19,09:16:00,10826.3,15:25:00,15:25:00,10903.2,10903.2,10.8263,10.8263,1451.8425000000364,-2393.1575000000366,-941.3150000000003
