Date,Entry Time,Entry Price,Exit Time Long,Exit Time Short,Exit Price Long,Exit Price Short,P&L Long,P&L Short,Total P&L
2018-01-01,09:16:00,10526.0,15:25:00,15:25:00,10433.3,10433.3,-2317.500000000018,2317.500000000018,0.0
2018-01-02,09:16:00,10493.1,15:25:00,15:25:00,10441.3,10441.3,-1295.0000000000273,1295.0000000000273,0.0
2018-01-03,09:16:00,10469.6,15:25:00,15:25:00,10444.1,10444.1,-637.5,637.5,0.0
2018-01-04,09:16:00,10460.0,15:25:00,15:25:00,10510.0,10510.0,1250.0,-1250.0,0.0
2018-01-05,09:16:00,10528.3,15:25:00,15:25:00,10564.4,10564.4,902.5000000000091,-902.5000000000091,0.0
2018-01-08,09:16:00,10599.0,15:25:00,15:25:00,10616.2,10616.2,430.0000000000182,-430.0000000000182,0.0
2018-01-09,09:16:00,10638.9,15:25:00,15:25:00,10632.3,10632.3,-165.0000000000091,165.0000000000091,0.0
2018-01-10,09:16:00,10637.7,15:25:00,15:25:00,10634.8,10634.8,-72.50000000003638,72.50000000003638,0.0
2018-01-11,09:16:00,10623.6,15:25:00,15:25:00,10655.7,10655.7,802.5000000000091,-802.5000000000091,0.0
2018-01-12,09:16:00,10684.0,15:25:00,15:25:00,10675.5,10675.5,-212.5,212.5,0.0
2018-01-15,09:16:00,10726.5,15:25:00,15:25:00,10736.8,10736.8,257.4999999999818,-257.4999999999818,0.0
2018-01-16,09:16:00,10756.8,15:25:00,15:25:00,10710.8,10710.8,-1150.0,1150.0,0.0
2018-01-17,09:16:00,10715.5,15:25:00,15:25:00,10799.0,10799.0,2087.5,-2087.5,0.0
2018-01-18,09:16:00,10853.9,15:25:00,15:25:00,10816.5,10816.5,-934.9999999999909,934.9999999999909,0.0
2018-01-19,09:16:00,10826.3,15:25:00,15:25:00,10903.2,10903.2,1922.5000000000364,-1922.5000000000364,0.0
2018-01-22,09:16:00,10913.8,15:25:00,15:25:00,10964.0,10964.0,1255.0000000000182,-1255.0000000000182,0.0
2018-01-23,09:16:00,11004.0,15:25:00,15:25:00,11087.2,11087.2,2080.000000000018,-2080.000000000018,0.0
2018-01-24,09:16:00,11068.3,15:25:00,15:25:00,11086.4,11086.4,452.5000000000091,-452.5000000000091,0.0
2018-01-25,09:16:00,11079.8,15:25:00,15:25:00,11077.8,11077.8,-50.0,50.0,0.0
2018-01-29,09:16:00,11106.1,15:25:00,15:25:00,11128.7,11128.7,565.0000000000091,-565.0000000000091,0.0
2018-01-30,09:16:00,11088.8,15:25:00,15:25:00,11055.5,11055.5,-832.4999999999818,832.4999999999818,0.0
2018-01-31,09:16:00,11043.6,15:25:00,15:25:00,11025.3,11025.3,-457.5000000000273,457.5000000000273,0.0
2018-02-01,09:16:00,11071.5,12:40:00,15:25:00,10959.8,11023.0,-2792.500000000018,1212.5,-1580.0000000000182
2018-02-02,09:16:00,10945.0,10:30:00,15:25:00,10843.2,10747.3,-2544.999999999982,4942.500000000018,2397.5000000000364
2018-02-05,09:16:00,10622.7,15:25:00,15:25:00,10679.2,10679.2,1412.5,-1412.5,0.0
2018-02-06,09:16:00,10358.2,15:25:00,13:54:00,10523.3,10461.2,4127.499999999964,-2575.0,1552.4999999999636
2018-02-07,09:16:00,10572.7,12:02:00,15:25:00,10472.6,10458.3,-2502.500000000009,2860.0000000000364,357.5000000000273
2018-02-08,09:16:00,10488.3,15:25:00,10:35:00,10576.7,10589.5,2210.0000000000364,-2530.000000000018,-319.9999999999818
2018-02-09,09:16:00,10414.0,15:25:00,15:25:00,10459.2,10459.2,1130.0000000000182,-1130.0000000000182,0.0
