Date,Total P&L
2018-01-01,-400.0
2018-01-02,-400.0
2018-01-03,-400.0
2018-01-04,-400.0
2018-01-05,-400.0
2018-01-08,-400.0
2018-01-09,-400.0
2018-01-10,-400.0
2018-01-11,-400.0
2018-01-12,-400.0
2018-01-15,-400.0
2018-01-16,-400.0
2018-01-17,-400.0
2018-01-18,-400.0
2018-01-19,-400.0
2018-01-22,-400.0
2018-01-23,-400.0
2018-01-24,-400.0
2018-01-25,-400.0
2018-01-29,-400.0
2018-01-30,-400.0
2018-01-31,-400.0
2018-02-01,-1980.0000000000182
2018-02-02,1997.5000000000364
2018-02-05,-400.0
2018-02-06,1152.4999999999636
2018-02-07,-42.499999999972715
2018-02-08,-719.9999999999818
2018-02-09,-400.0
2018-02-12,-400.0
2018-02-14,-400.0
2018-02-15,-400.0
2018-02-16,855.0000000000182
2018-02-19,-2005.0000000000182
2018-02-20,-400.0
2018-02-21,-400.0
2018-02-22,-400.0
2018-02-23,-400.0
2018-02-26,-400.0
2018-02-27,-400.0
2018-02-28,-400.0
2018-03-01,-400.0
2018-03-05,-400.0
2018-03-06,1537.5
2018-03-07,-400.0
2018-03-08,-400.0
2018-03-09,-400.0
2018-03-12,-357.4999999999818
2018-03-13,-400.0
2018-03-14,-400.0
2018-03-15,-400.0
2018-03-16,17.50000000001819
2018-03-19,282.4999999999818
2018-03-20,-400.0
2018-03-21,-400.0
2018-03-22,-400.0
2018-03-23,-400.0
2018-03-26,344.9999999999818
2018-03-27,-400.0
2018-03-28,-400.0
2018-04-02,-400.0
2018-04-03,-400.0
2018-04-04,-187.5
2018-04-05,-400.0
2018-04-06,-400.0
2018-04-09,-400.0
2018-04-10,-400.0
2018-04-11,-400.0
2018-04-12,-400.0
2018-04-13,-400.0
2018-04-16,-175.0
2018-04-17,-400.0
2018-04-18,-400.0
2018-04-19,-400.0
2018-04-20,-400.0
2018-04-23,-400.0
2018-04-24,-400.0
2018-04-25,-400.0
2018-04-26,-400.0
2018-04-27,-400.0
2018-04-30,-400.0
2018-05-02,-400.0
2018-05-03,-400.0
2018-05-04,-400.0
2018-05-07,-400.0
2018-05-08,-400.0
2018-05-09,-400.0
2018-05-10,-400.0
2018-05-11,-400.0
2018-05-14,-400.0
2018-05-15,-3087.5
2018-05-16,-400.0
2018-05-17,-400.0
2018-05-18,-400.0
2018-05-21,-400.0
2018-05-22,-400.0
2018-05-23,-657.5000000000273
2018-05-24,-400.0
2018-05-25,-400.0
2018-05-28,-400.0
2018-05-29,-400.0
2018-05-30,-400.0
2018-05-31,-400.0
2018-06-01,-400.0
2018-06-04,290.0000000000091
2018-06-05,-400.0
2018-06-06,-400.0
2018-06-07,-400.0
2018-06-08,-400.0
2018-06-11,-400.0
2018-06-12,-400.0
2018-06-13,-400.0
2018-06-14,-400.0
2018-06-15,-400.0
2018-06-18,-400.0
2018-06-19,-400.0
2018-06-20,-400.0
2018-06-21,-400.0
2018-06-22,-609.9999999999909
2018-06-25,-400.0
2018-06-26,-400.0
2018-06-27,-385.0000000000364
2018-06-28,-400.0
2018-06-29,-400.0
2018-07-02,-400.0
2018-07-03,-400.0
2018-07-04,-400.0
2018-07-05,-400.0
2018-07-06,-400.0
2018-07-09,-400.0
2018-07-10,-400.0
2018-07-11,-400.0
2018-07-12,-400.0
2018-07-13,-400.0
2018-07-16,-400.0
2018-07-17,-400.0
2018-07-18,-1025.0
2018-07-19,-400.0
2018-07-20,-400.0
2018-07-23,-400.0
2018-07-24,-400.0
2018-07-25,-400.0
2018-07-26,-400.0
2018-07-27,-400.0
2018-07-30,-400.0
2018-07-31,-400.0
2018-08-01,-400.0
2018-08-02,-400.0
2018-08-03,-400.0
2018-08-06,-400.0
2018-08-07,-400.0
2018-08-08,-400.0
2018-08-09,-400.0
2018-08-10,-400.0
2018-08-13,-400.0
2018-08-14,-400.0
2018-08-16,-400.0
2018-08-17,-400.0
2018-08-20,-400.0
2018-08-21,-400.0
2018-08-23,-400.0
2018-08-24,-400.0
2018-08-27,-400.0
2018-08-28,-400.0
2018-08-29,-400.0
2018-08-30,-400.0
2018-08-31,-400.0
2018-09-03,280.0000000000182
2018-09-04,-400.0
2018-09-05,-2180.000000000018
2018-09-06,-400.0
2018-09-07,-605.0000000000182
2018-09-10,330.0000000000182
2018-09-11,1587.5
2018-09-12,-400.0
2018-09-14,-400.0
2018-09-17,-400.0
2018-09-18,-280.0000000000182
2018-09-19,-400.0
2018-09-21,332.4999999999818
2018-09-24,637.5
2018-09-25,-17.50000000001819
2018-09-26,-1195.0000000000273
2018-09-27,-400.0
2018-09-28,-647.5000000000364
2018-10-01,700.0
2018-10-03,-472.4999999999909
2018-10-04,-242.5000000000182
2018-10-05,1572.499999999991
2018-10-08,-1427.500000000009
2018-10-09,-400.0
2018-10-10,394.9999999999818
2018-10-11,-1675.0
2018-10-12,-447.4999999999909
2018-10-15,-400.0
2018-10-16,-400.0
2018-10-17,3277.4999999999636
2018-10-19,-400.0
2018-10-22,50.0
2018-10-23,-400.0
2018-10-24,-2312.5
2018-10-25,-400.0
2018-10-26,-400.0
2018-10-29,2262.5
2018-10-30,-400.0
2018-10-31,-5842.499999999973
2018-11-01,-400.0
2018-11-02,-1097.499999999991
2018-11-05,-400.0
2018-11-06,-400.0
2018-11-09,-400.0
2018-11-12,597.4999999999909
2018-11-13,0.0
2018-11-14,-400.0
2018-11-15,-400.0
2018-11-16,-400.0
2018-11-19,-400.0
2018-11-20,-400.0
2018-11-21,-400.0
2018-11-22,-737.5
2018-11-26,-400.0
2018-11-27,-400.0
2018-11-28,-400.0
2018-11-29,-400.0
2018-11-30,-400.0
2018-12-03,-400.0
2018-12-04,-400.0
2018-12-05,-400.0
2018-12-06,-132.4999999999818
2018-12-07,-400.0
2018-12-10,-400.0
2018-12-11,1040.000000000009
2018-12-12,1034.999999999991
2018-12-13,-400.0
2018-12-14,-400.0
2018-12-17,-400.0
2018-12-18,-400.0
2018-12-19,-400.0
2018-12-20,-400.0
2018-12-21,1587.5
2018-12-24,-400.0
2018-12-26,94.99999999998181
2018-12-27,-400.0
2018-12-28,-400.0
2018-12-31,-400.0
2019-01-01,-400.0
2019-01-02,-1169.9999999999818
2019-01-03,-400.0
2019-01-04,-400.0
2019-01-07,-400.0
2019-01-08,-400.0
2019-01-09,-2797.499999999991
2019-01-10,-400.0
2019-01-11,-1579.9999999999727
2019-01-14,-400.0
2019-01-15,-217.49999999997272
2019-01-16,-400.0
2019-01-17,-400.0
2019-01-18,-400.0
2019-01-21,-400.0
2019-01-22,-400.0
2019-01-23,-634.9999999999909
2019-01-24,-400.0
2019-01-25,-117.49999999997272
2019-01-28,-752.4999999999636
2019-01-29,-400.0
2019-01-30,-400.0
2019-01-31,389.9999999999636
2019-02-01,-2087.5
2019-02-04,-400.0
2019-02-05,-400.0
2019-02-06,-400.0
2019-02-07,-400.0
2019-02-08,-400.0
2019-02-11,-400.0
2019-02-12,-400.0
2019-02-13,-315.0000000000091
2019-02-14,-400.0
2019-02-15,-2954.9999999999727
2019-02-18,-457.5000000000273
2019-02-19,-400.0
2019-02-20,-400.0
2019-02-21,-400.0
2019-02-22,-400.0
2019-02-25,-400.0
2019-02-26,-400.0
2019-02-27,-902.4999999999636
2019-02-28,-400.0
2019-03-01,-400.0
2019-03-05,917.5000000000182
2019-03-06,-400.0
2019-03-07,-400.0
2019-03-08,-400.0
2019-03-11,-400.0
2019-03-12,-400.0
2019-03-13,-400.0
2019-03-14,-400.0
2019-03-15,-400.0
2019-03-18,-400.0
2019-03-19,-400.0
2019-03-20,-400.0
2019-03-22,-800.0
2019-03-25,-400.0
2019-03-26,-127.5000000000091
2019-03-27,-817.5000000000182
2019-03-28,210.00000000003638
2019-03-29,-400.0
2019-04-01,-400.0
2019-04-02,-400.0
2019-04-03,-125.0
2019-04-04,-400.0
2019-04-05,-400.0
2019-04-08,-1067.5000000000182
2019-04-09,-422.5000000000364
2019-04-10,-400.0
2019-04-11,-400.0
2019-04-12,-400.0
2019-04-15,-400.0
2019-04-16,-400.0
2019-04-18,-400.0
2019-04-22,-400.0
2019-04-23,-400.0
2019-04-24,-200.0
2019-04-25,-400.0
2019-04-26,-400.0
2019-04-30,-400.0
2019-05-02,-400.0
2019-05-03,-400.0
2019-05-06,-400.0
2019-05-07,657.4999999999818
2019-05-08,-400.0
2019-05-09,-400.0
2019-05-10,-400.0
2019-05-13,-432.4999999999818
2019-05-14,-290.0000000000091
2019-05-15,-287.5
2019-05-16,-322.4999999999909
2019-05-17,580.0000000000182
2019-05-20,1202.4999999999636
2019-05-21,544.9999999999818
2019-05-22,-400.0
2019-05-23,-5825.0
2019-05-24,-4637.5
2019-05-27,-675.0
2019-05-28,-400.0
2019-05-29,-400.0
2019-05-30,-400.0
2019-05-31,-2745.0000000000273
2019-06-03,969.9999999999818
2019-06-04,-400.0
2019-06-06,1032.4999999999818
2019-06-07,-400.0
2019-06-10,-400.0
2019-06-11,-400.0
2019-06-12,-400.0
2019-06-13,-400.0
