Date,Total P&L
2018-01-01,-926.3000000000002
2018-01-02,-924.6549999999997
2018-01-03,-923.48
2018-01-04,-923.0
2018-01-05,-926.415
2018-01-08,-929.95
2018-01-09,-931.9449999999999
2018-01-10,-931.885
2018-01-11,-931.18
2018-01-12,-934.2
2018-01-15,-936.325
2018-01-16,-937.84
2018-01-17,-935.7750000000003
2018-01-18,-942.6949999999998
2018-01-19,-941.3150000000003
2018-01-22,-945.69
2018-01-23,-950.2
2018-01-24,-953.415
2018-01-25,-953.9899999999999
2018-01-29,-955.305
2018-01-30,-954.44
2018-01-31,-952.1800000000001
2018-02-01,-2533.575000000018
2018-02-02,1450.2500000000364
2018-02-05,-931.1350000000002
2018-02-06,634.5899999999633
2018-02-07,-571.1349999999729
2018-02-08,-1244.4149999999818
2018-02-09,-920.7000000000002
2018-02-12,-925.875
2018-02-14,-928.2400000000007
2018-02-15,-926.96
2018-02-16,324.8500000000181
2018-02-19,-2526.485000000018
2018-02-20,-918.6299999999999
2018-02-21,-919.675
2018-02-22,-917.95
2018-02-23,-920.875
2018-02-26,-926.2749999999999
2018-02-27,-930.4700000000003
2018-02-28,-923.7
2018-03-01,-925.6999999999998
2018-03-05,-919.8900000000002
2018-03-06,1016.4400000000005
2018-03-07,-910.09
2018-03-08,-911.54
2018-03-09,-913.6099999999999
2018-03-12,-873.2649999999812
2018-03-13,-920.5999999999999
2018-03-14,-919.9850000000001
2018-03-15,-919.8149999999997
2018-03-16,-498.95499999998174
2018-03-19,-228.66000000001804
2018-03-20,-903.5299999999997
2018-03-21,-909.285
2018-03-22,-908.1800000000003
2018-03-23,-899.7275
2018-03-26,-155.16500000001815
2018-03-27,-909.21
2018-03-28,-906.3299999999999
2018-04-02,-907.885
2018-04-03,-910.6999999999998
2018-04-04,-700.0250000000005
2018-04-05,-912.5100000000002
2018-04-06,-915.45
2018-04-09,-917.27
2018-04-10,-920.76
2018-04-11,-920.3
2018-04-12,-920.3849999999998
2018-04-13,-924.41
2018-04-16,-696.0250000000005
2018-04-17,-926.6400000000001
2018-04-18,-928.1750000000001
2018-04-19,-928.065
2018-04-20,-928.0450000000001
2018-04-23,-928.6400000000001
2018-04-24,-930.125
2018-04-25,-929.8000000000001
2018-04-26,-929.125
2018-04-27,-933.1300000000001
2018-04-30,-937.1
2018-05-02,-938.1999999999998
2018-05-03,-935.29
2018-05-04,-933.2350000000001
2018-05-07,-932.4499999999998
2018-05-08,-936.2950000000001
2018-05-09,-935.4300000000002
2018-05-10,-938.9099999999999
2018-05-11,-937.9300000000002
2018-05-14,-941.01
2018-05-15,-3627.5249999999996
2018-05-16,-937.96
2018-05-17,-937.71
2018-05-18,-932.9500000000003
2018-05-21,-929.1649999999995
2018-05-22,-926.025
2018-05-23,-1183.6250000000275
2018-05-24,-922.8000000000002
2018-05-25,-926.4499999999998
2018-05-28,-932.14
2018-05-29,-933.66
2018-05-30,-928.6500000000001
2018-05-31,-932.9849999999999
2018-06-01,-936.73
2018-06-04,-247.8149999999905
2018-06-05,-930.145
2018-06-06,-930.1250000000002
2018-06-07,-937.375
2018-06-08,-936.1
2018-06-11,-939.2600000000001
2018-06-12,-940.0399999999998
2018-06-13,-943.52
